TYPEID;ATTRIBUTEID;VALUEINT;VALUEFLOAT
18;182;3386;
18;790;12191;
19;182;3386;
19;790;12194;
20;182;3386;
20;790;12188;
21;182;3386;
21;790;12185;
22;182;3386;
22;790;12180;
23;9;500;
23;525;;1
23;552;;5000
25;9;10;
25;552;;50
44;1640;;7200
44;1641;;7200
50;37;3750;
50;70;;1000
50;108;35;
50;114;;0
50;116;;240
50;117;;0
50;118;;0
50;137;506;
50;144;;1.125
50;182;3326;
50;183;3319;
50;277;4;
50;278;1;
50;281;20000;
50;525;;1
50;653;1000;
50;654;150;
50;655;;1500
54;9;100000000;
54;524;;1
56;9;100000000;
56;524;;1
57;9;100000000;
57;524;;1
58;524;;1
59;524;;1
164;419;900000;
165;419;1380000;
166;419;2050000;
178;114;;0
178;116;;1
178;117;;4
178;118;;0
178;120;;1.6
178;124;4082279;
178;128;;1
178;137;55;
178;244;;1.05
178;422;1;
178;612;;0
178;613;;0
178;779;;1.6
179;114;;0
179;116;;4
179;117;;1
179;118;;0
179;120;;1.6
179;124;4084071;
179;128;;1
179;137;55;
179;244;;1.05
179;422;1;
179;612;;0
179;613;;0
179;779;;1.4
180;114;;3
180;116;;0
180;117;;2
180;118;;0
180;120;;1.6
180;124;2772304;
180;128;;1
180;137;55;
180;244;;1.05
180;422;1;
180;612;;0
180;613;;0
180;779;;1.2
181;114;;0
181;116;;3
181;117;;2
181;118;;3
181;120;;1
181;124;3957853;
181;128;;1
181;137;55;
181;244;;1.2
181;422;1;
181;612;;0
181;613;;0
181;779;;1
182;114;;0
182;116;;2
182;117;;6
182;118;;0
182;120;;1
182;124;6380350;
182;128;;1
182;137;55;
182;244;;1.2
182;422;1;
182;612;;0
182;613;;0
182;779;;0.875
183;114;;0
183;116;;10
183;117;;2
183;118;;0
183;120;;0.5
183;124;12021089;
183;128;;1
183;137;55;
183;244;;1
183;422;1;
183;612;;0
183;613;;0
183;779;;0.75
184;114;;0
184;116;;0
184;117;;2
184;118;;10
184;120;;0.5
184;124;3304021;
184;128;;1
184;137;55;
184;244;;1
184;422;1;
184;612;;0
184;613;;0
184;779;;0.625
185;114;;9
185;116;;2
185;117;;1
185;118;;0
185;120;;0.5
185;124;16763512;
185;128;;1
185;137;55;
185;244;;1
185;422;1;
185;612;;0
185;613;;0
185;779;;0.5
186;114;;0
186;116;;2
186;117;;8
186;118;;0
186;120;;1.6
186;124;4082279;
186;128;;2
186;137;55;
186;244;;1.05
186;422;1;
186;612;;0
186;613;;0
