BLUEPRINTTYPEID;PARENTBLUEPRINTTYPEID;PRODUCTTYPEID;PRODUCTIONTIME;TECHLEVEL;RESEARCHPRODUCTIVITYTIME;RESEARCHMATERIALTIME;RESEARCHCOPYTIME;RESEARCHTECHTIME;PRODUCTIVITYMODIFIER;MATERIALMODIFIER;WASTEFACTOR;MAXPRODUCTIONLIMIT
681;986;165;600;1;12000;12000;12000;120000;120;5;10;300
682;681;166;600;1;12000;12000;12000;120000;120;5;10;300
683;;582;6000;1;120000;120000;120000;90000;1200;5;10;30
684;;583;6000;1;120000;120000;120000;90000;1200;5;10;30
685;;584;6000;1;120000;120000;120000;90000;1200;5;10;30
686;;620;12000;1;240000;240000;240000;180000;2400;5;10;15
687;682;621;12000;1;240000;240000;240000;180000;2400;5;10;15
688;;638;18000;1;360000;360000;360000;270000;3600;5;10;10
689;;585;6000;1;120000;120000;120000;90000;1200;5;10;30
690;;586;6000;1;120000;120000;120000;90000;1200;5;10;30
691;;587;6000;1;120000;120000;120000;90000;1200;5;10;30
692;;622;12000;1;240000;240000;240000;180000;2400;5;10;15
693;;639;18000;1;360000;360000;360000;270000;3600;5;10;10
784;;482;6000;2;36000;24000;600000;90000;1200;5;10;100
785;;483;600;1;12000;12000;12000;9000;120;5;10;300
786;;499;600;1;12000;12000;12000;9000;120;5;10;300
788;;501;600;1;12000;12000;12000;9000;120;5;10;300
790;;503;600;1;12000;12000;12000;9000;120;5;10;300
803;;202;300;1;6000;6000;6000;4500;60;5;10;1500
804;;203;300;1;6000;6000;6000;4500;60;5;10;1500
805;;204;300;1;6000;6000;6000;4500;60;5;10;1500
806;;205;300;1;6000;6000;6000;4500;60;5;10;1500
807;;206;300;1;6000;6000;6000;4500;60;5;10;1500
808;;207;300;1;6000;6000;6000;4500;60;5;10;1500
809;;208;300;1;6000;6000;6000;4500;60;5;10;1500
810;;209;300;1;6000;6000;6000;4500;60;5;10;1500
811;;210;300;1;6000;6000;6000;4500;60;5;10;1500
812;;211;300;1;6000;6000;6000;4500;60;5;10;1500
813;;212;300;1;6000;6000;6000;4500;60;5;10;1500
814;;213;300;1;6000;6000;6000;4500;60;5;10;1500
819;;484;600;1;12000;12000;12000;9000;120;5;10;300
820;;485;600;1;12000;12000;12000;9000;120;5;10;300
821;;486;600;1;12000;12000;12000;9000;120;5;10;300
822;;487;600;1;12000;12000;12000;9000;120;5;10;300
823;;488;600;1;12000;12000;12000;9000;120;5;10;300
824;;489;600;1;12000;12000;12000;9000;120;5;10;300
825;;490;600;1;12000;12000;12000;9000;120;5;10;300
826;;491;600;1;12000;12000;12000;9000;120;5;10;300
827;;492;600;1;12000;12000;12000;9000;120;5;10;300
828;;493;600;1;12000;12000;12000;9000;120;5;10;300
829;;494;600;1;12000;12000;12000;9000;120;5;10;300
830;;495;600;1;12000;12000;12000;9000;120;5;10;300
831;;496;600;1;12000;12000;12000;9000;120;5;10;300
832;;497;600;1;12000;12000;12000;9000;120;5;10;300
833;;498;600;1;12000;12000;12000;9000;120;5;10;300
834;;450;600;1;12000;12000;12000;9000;120;5;10;300
835;;451;600;1;12000;12000;12000;9000;120;5;10;300
836;;452;600;1;12000;12000;12000;9000;120;5;10;300
837;;453;600;1;12000;12000;12000;9000;120;5;10;300
838;;454;600;1;12000;12000;12000;9000;120;5;10;300
839;;455;600;1;12000;12000;12000;9000;120;5;10;300
840;;456;600;1;12000;12000;12000;9000;120;5;10;300
841;;457;600;1;12000;12000;12000;9000;120;5;10;300
842;;458;600;1;12000;12000;12000;9000;120;5;10;300
