MARKETGROUPID;PARENTGROUPID;MARKETGROUPNAME;DESCRIPTION;ICONID;HASTYPES
2;;Blueprints;Design sheets for the construction of complicated machines and equipment.;2703;0
4;;Ships;Capsule-fitted vessels of all shapes and sizes, from frigate to battleship.;1443;0
5;1361;Standard Frigates;Small, fast vessels suited to a variety of purposes.;1443;0
6;1367;Standard Cruisers;The middle children of the starship industry, but not to be underestimated.;1443;0
7;1376;Standard Battleships;The foundations of any respectable fighting force.;1443;0
8;1382;Standard Industrial Ships;Built for the transportation of vast amounts of cargo.;1443;0
9;;Ship Equipment;Everything the dedicated pilot needs to outfit their ship.;1432;0
10;9;Turrets & Bays;Everything you need to hurt your fellow man and then some.;365;0
11;;Ammunition & Charges;Strike hard, strike true.;1299;0
14;9;Hull & Armor ;Everything you need to strengthen your ship against the dangers of space.;68;0
18;1031;Minerals;Minerals harvested from refined asteroid ore.;;1
19;;Trade Goods;A selection of commodities and goods in varying states of supply and demand.;2340;0
20;19;Industrial Goods;Various products used in a variety of industries.;;1
22;19;Radioactive Goods;Chemicals and waste, dripping with radiation. Handle with caution.;;1
23;19;Passengers;Living, breathing cargo.;;1
24;;Implants & Boosters;Point yourself in the direction of personal growth.;2563;0
27;24;Implants;Microchips, hard-wired to the brainstem.;2062;0
52;9;Propulsion ;When the need for speed overwhelms, look no further.;72;0
54;1031;Ore;Chunks of raw material harvested from asteroids.;1277;0
61;5;Caldari;Caldari frigate designs.;;1
64;5;Minmatar;Minmatar frigate designs.;;1
65;1035;Construction Components;Components used in the manufacture of Tech II vessels and equipment.;1436;0
72;5;Amarr;Amarr frigate designs.;;1
73;6;Minmatar;Minmatar cruiser designs.;;1
74;6;Amarr;Amarr cruiser designs.;;1
75;6;Caldari;Caldari cruiser designs.;;1
76;6;Gallente;Gallente cruiser designs.;;1
77;5;Gallente;Gallente frigate designs.;;1
78;7;Minmatar;Minmatar battleship designs.;;1
79;7;Amarr;Amarr battleship designs.;;1
80;7;Caldari;Caldari battleship designs.;;1
81;7;Gallente;Gallente battleship designs.;;1
82;8;Minmatar;Minmatar industrial designs.;;1
83;8;Gallente;Gallente industrial designs.;;1
84;8;Caldari;Caldari industrial designs.;;1
85;8;Amarr;Amarr industrial designs.;;1
86;10;Hybrid Turrets;Hybrid turrets are specifically designed to house railguns and blasters.;376;0
87;10;Projectile Turrets;Built to house cannons capable of firing superheated gunshells.;387;0
88;10;Laser Turrets;Laser turrets are built to house beam and pulse lasers.;352;0
99;11;Projectile Ammo;Metal-cased shells, fired by artillery guns and autocannons.;1004;0
100;11;Hybrid Charges;Combination shell / plasma core charges designed for railguns and blasters.;1047;0
101;11;Frequency Crystals;Modulate energy weapon beams into several different frequencies.;1131;0
102;851;Small;Small frequency crystals, for use with frigate-sized lasers.;;1
103;851;Medium;Medium frequency crystals, for use with cruiser-sized lasers.;;1
105;851;Large;Large frequency crystals, for use with battleship-sized lasers.;;1
106;848;Large;Large hybrid shells, fired by battleship-sized guns.;;1
107;848;Small;Small hybrid shells, fired by frigate-sized guns.;;1
108;848;Medium;Medium hybrid shells, fired by cruiser-sized guns.;;1
109;845;Large;Large projectile shells, fired by battleship-sized guns.;;1
112;845;Medium;Medium projectile shells, fired by cruiser-sized guns.;;1
113;845;Small;Small projectile shells, fired by frigate-sized guns.;;1
114;11;Missiles;Jet-propelled projectiles with variable payloads.;1334;0
115;114;Auto-Targeting;For when targeting systems fail.;1335;0
116;114;Defender;The anti-missile missile.;;1
117;114;Light Missiles;Jet-propelled projectiles for standard-sized launchers.;192;0
118;114;Rockets;Hundreds of tiny bites will wear away even the toughest opponent.;1352;0
120;11;Probes;Scan Probes scanning down things in space, survey probes for analysing moons and warp disrupt probes used by interdictors.;1723;0
126;554;Shield Rechargers;Provide an increase to the shield's recharge rate.;;1
128;554;Remote Shield Boosters;Transfer shields to another ship.;86;0
131;52;Microwarpdrives;Ultra-advanced propulsion subsystems giving a massive speed boost.;;1
132;52;Propulsion Upgrades;Hull modifications designed to increase a ship's speed.;97;0
133;14;Armor Plates;Reinforced armor plates for additional protection.;79;0
134;14;Armor Repairers;Nano-assembler technology at its best. Repair armor on the fly.;80;0
135;14;Hull Upgrades;Hull modifications with various applications.;92;0
139;11;Cap Booster Charges;Fuel for the furnace.;;1
140;10;Missile Launchers;For the launching of jet-propelled guided missiles.;168;0
141;9;Smartbombs;Omnidirectional energy blasts.  The loner's best friend in hostile territory.;112;0
143;10;Weapon Upgrades;Subsystems designed to improve weapon efficiency.;2531;0
150;;Skills;Knowledge is power.;33;0
157;;Drones;Self-propelled, remote-controlled robots for deep space operations.;1084;0
158;157;Mining Drones;The miner's little helpers.;;1
159;157;Combat Drones;Tiny warriors, not to be underestimated.;1084;0
204;2;Ships;Blueprints of capsule-fitted space ships.;2703;0
205;204;Frigates;Blueprints of frigate-class vessels.;2703;0
206;204;Cruisers;Blueprints of cruiser-class vessels.;2703;0
207;204;Battleships;Blueprints of battleship-class vessels.;2703;0
208;204;Industrial Ships;Blueprints of industrial-class vessels.;2703;0
209;2;Ship Equipment;Blueprints of modules and equipment for capsule-fitted vessels.;2703;0
210;209;Turrets & Bays;Blueprints of weapons systems for capsule-fitted vessels.;2703;0
211;2;Ammunition & Charges;Blueprints of ammunition and charges.;2703;0
214;209;Hull & Armor ;Blueprints of hull and armor systems.;2703;0
252;209;Propulsion ;Blueprints of propulsion systems.;2703;0
261;205;Caldari;Blueprints of Caldari frigate designs.;;1
264;205;Minmatar;Blueprints of Minmatar frigate designs.;;1
272;205;Amarr;Blueprints of Amarr frigate designs.;;1
273;206;Minmatar;Blueprints of Minmatar cruiser designs.;;1
274;206;Amarr;Blueprints of Amarr cruiser designs.;;1
275;206;Caldari;Blueprints of Caldari cruiser designs.;;1
276;206;Gallente;Blueprints of Gallente cruiser designs.;;1
277;205;Gallente;Blueprints of Gallente frigate designs.;;1
278;207;Minmatar;Blueprints of Minmatar battleship designs.;;1
279;207;Amarr;Blueprints of Amarr battleship designs.;;1
280;207;Caldari;Blueprints of Caldari battleship designs.;;1
281;207;Gallente;Blueprints of Gallente battleship designs.;;1
282;208;Minmatar;Blueprints of Minmatar industrial designs.;;1
283;208;Gallente;Blueprints of Gallente industrial designs.;;1
284;208;Caldari;Blueprints of Caldari industrial designs.;;1
285;208;Amarr;Blueprints of Amarr industrial designs.;;1
286;210;Hybrid Turrets;Blueprints of hybrid turrets for capsule-fitted vessels.;2703;0
287;210;Projectile Turrets;Blueprints of projectile turrets for capsule-fitted vessels.;2703;0
288;210;Laser Turrets;Blueprints of laser turrets for capsule-fitted ships.;2703;0
289;286;Large;Blueprints of large hybrid turrets.;;1
