REGIONID;CONSTELLATIONID;CONSTELLATIONNAME;X;Y;Z;XMIN;XMAX;YMIN;YMAX;ZMIN;ZMAX;FACTIONID;RADIUS
10000001;20000001;San Matar;-9,40466E+16;4,95202E+16;-4,27387E+16;-1,03301E+17;-8,47922E+16;4,17075E+16;5,73328E+16;2,84035E+16;5,70739E+16;500007;1,43352E+16
10000001;20000002;Anares;-7,91813E+16;5,97218E+16;-8,57676E+16;-8,87871E+16;-6,95755E+16;4,7721E+16;7,17225E+16;7,52261E+16;9,63091E+16;500007;1,20008E+16
10000001;20000003;Mamouna;-6,65448E+16;3,94772E+16;-1,02443E+17;-7,43798E+16;-5,87099E+16;2,60445E+16;5,29099E+16;9,67204E+16;1,08165E+17;500007;1,34327E+16
10000001;20000004;Kalangin;-7,07428E+16;4,53212E+16;-4,37505E+16;-8,15533E+16;-5,99323E+16;3,95082E+16;5,11342E+16;3,63464E+16;5,11546E+16;500007;1,08105E+16
10000001;20000005;Hevaka;-7,70596E+16;2,71286E+16;-2,64234E+16;-8,78957E+16;-6,62234E+16;1,51946E+16;3,90625E+16;2,2409E+16;3,04377E+16;500007;1,19339E+16
10000001;20000006;Sazdih;-6,03363E+16;4,13207E+16;-7,3046E+16;-6,27794E+16;-5,78931E+16;3,0602E+16;5,20394E+16;6,42458E+16;8,18461E+16;500007;1,07187E+16
10000001;20000007;Ananah;-8,13873E+16;3,57956E+16;-9,3153E+16;-8,93931E+16;-7,33815E+16;2,44225E+16;4,71688E+16;7,89993E+16;1,07307E+17;500007;1,41537E+16
10000001;20000008;Mossas;-8,07438E+16;3,82832E+16;-6,48118E+16;-8,50396E+16;-7,6448E+16;3,32539E+16;4,33125E+16;5,76655E+16;7,19582E+16;500007;7,14634E+15
10000001;20000009;Mekashtad;-7,05911E+16;6,77961E+16;-5,9587E+16;-8,57144E+16;-5,54678E+16;5,69603E+16;7,8632E+16;5,35019E+16;6,56722E+16;500007;1,51233E+16
10000001;20000010;Bedaleya;-1,0555E+17;7,13371E+16;-9,24423E+16;-1,15777E+17;-9,53234E+16;6,08972E+16;8,1777E+16;8,16962E+16;1,03188E+17;500007;1,07461E+16
10000001;20000011;Orshed;-1,04178E+17;6,4229E+16;-5,78506E+16;-1,1229E+17;-9,60661E+16;6,01532E+16;6,83047E+16;5,55596E+16;6,01416E+16;500007;8,1119E+15
10000001;20000012;Oraron;-1,00508E+17;5,29851E+16;-6,78389E+16;-1,06307E+17;-9,47095E+16;4,33534E+16;6,26168E+16;6,14057E+16;7,42721E+16;500007;9,63172E+15
10000001;20000013;Aguh;-8,53769E+16;7,46275E+16;-9,52039E+16;-8,89582E+16;-8,17957E+16;6,69547E+16;8,23003E+16;8,61391E+16;1,04269E+17;500007;9,06482E+15
10000001;20000014;Mal;-6,70254E+16;6,90653E+16;-8,37385E+16;-7,74338E+16;-5,6617E+16;5,50521E+16;8,30786E+16;7,09063E+16;9,65708E+16;500007;1,40133E+16
10000001;20000015;Subi;-9,60221E+16;3,92965E+16;-8,36248E+16;-1,06672E+17;-8,53722E+16;3,16926E+16;4,69004E+16;7,8714E+16;8,85355E+16;500007;1,06498E+16
10000001;20000016;Joas;-4,91739E+16;3,38363E+16;-4,20571E+16;-5,34522E+16;-4,48956E+16;2,55877E+16;4,20849E+16;3,59923E+16;4,81218E+16;500007;8,24861E+15
10000002;20000017;Ruomo;-1,11328E+17;4,71242E+16;1,08042E+17;-1,20343E+17;-1,02314E+17;4,01961E+16;5,40524E+16;-1,16246E+17;-9,98388E+16;500001;9,01414E+15
10000002;20000018;Anttanen;-1,15692E+17;7,349E+16;9,1044E+16;-1,28835E+17;-1,02549E+17;6,47567E+16;8,22234E+16;-9,83381E+16;-8,37499E+16;500001;1,3143E+16
10000002;20000019;Ihilakken;-1,43646E+17;5,29096E+16;1,09619E+17;-1,53519E+17;-1,33772E+17;4,26617E+16;6,31575E+16;-1,14296E+17;-1,04943E+17;500001;1,02479E+16
10000002;20000020;Kimotoro;-1,34996E+17;6,49995E+16;1,03326E+17;-1,44006E+17;-1,25987E+17;5,85223E+16;7,14766E+16;-1,17469E+17;-8,9182E+16;500001;1,41436E+16
