STATIONID;SECURITY;DOCKINGCOSTPERVOLUME;MAXSHIPVOLUMEDOCKABLE;OFFICERENTALCOST;OPERATIONID;STATIONTYPEID;CORPORATIONID;SOLARSYSTEMID;CONSTELLATIONID;REGIONID;STATIONNAME;X;Y;Z;REPROCESSINGEFFICIENCY;REPROCESSINGSTATIONSTAKE;REPROCESSINGHANGARFLAG
60000004;0;0;50000000;10000;26;1531;1000002;30002780;20000407;10000033;Muvolailen X - Moon 3 - CBD Corporation Storage;1,72368E+12;2,56414E+11;-60755435520;0,5;0,05;4
60000007;0;0;50000000;10000;26;1531;1000002;30002779;20000407;10000033;Ono V - Moon 9 - CBD Corporation Storage;-6,40881E+11;-65580441600;-5,06471E+11;0,5;0,05;4
60000010;0;0;50000000;10000;26;1531;1000002;30002776;20000407;10000033;Annaro I - CBD Corporation Storage;2234081280;327966720;35834142720;0,5;0,05;4
60000013;0;0;50000000;10000;26;1531;1000002;30002779;20000407;10000033;Ono V - Moon 2 - CBD Corporation Storage;-6,40135E+11;-65504993280;-5,07244E+11;0,5;0,05;4
60000016;0;0;50000000;10000;26;1531;1000002;30002778;20000407;10000033;Tasabeshi VIII - Moon 13 - CBD Corporation Storage;-5,86587E+12;-6,54234E+11;2,58489E+12;0,5;0,05;4
60000019;0;0;50000000;10000;26;1531;1000002;30002778;20000407;10000033;Tasabeshi VI - Moon 1 - CBD Corporation Storage;-7,01221E+11;-78208819200;1,8248E+12;0,5;0,05;4
60000022;0;0;50000000;10000;26;1531;1000002;30002650;20000388;10000032;Ney X - Moon 15 - CBD Corporation Storage;1,23788E+12;10972569600;7508090880;0,5;0,05;4
60000025;0;0;50000000;10000;26;1531;1000002;30002648;20000388;10000032;Ardene VIII - Moon 5 - CBD Corporation Storage;2,03518E+12;-4,05833E+11;7,35735E+11;0,5;0,05;4
60000028;0;0;50000000;10000;26;1531;1000002;30002654;20000388;10000032;Schoorasana VI - Moon 1 - CBD Corporation Storage;-9,46855E+11;-1,7043E+11;6,949E+11;0,5;0,05;4
60000031;0;0;50000000;10000;26;1531;1000002;30002654;20000388;10000032;Schoorasana VI - Moon 6 - CBD Corporation Storage;-9,47636E+11;-1,7057E+11;6,9478E+11;0,5;0,05;4
